text,label
This app is truly amazing and fast.,2
"I love the new UI design, very clean.",2
"Best experience so far, highly recommended.",2
Working perfectly after the update.,2
"Zabardast app hai, maza aa gaya!",2
"Kamaal ka feature hai, bahut helpful hai.",2
"Paisa vasool experience, thanks team.",2
"Mast chal raha hai, koi issue nahi hai.",2
Shukriya itna achha app banane ke liye.,2
Bahut badhiya kaam kiya hai aapne.,2
"Solid performance, no lag at all.",2
"Killer features, love the dark mode.",2
Dhanyawad support team ko fast help ke liye.,2
"Maza aa gaya bhai, best app hai category me.",2
"Great customer support, resolved my issue quickly.",2
Finally a reliable application.,2
"Absolutely love this, worth every penny.",2
"Superb update, fixed all my previous issues.",2
"Sahi hai bhai, bilkul waisa hi hai jaisa chahiye tha.",2
Bahut khush hoon is service se.,2
Everything is working smoothly. Excellent.,2
Highly intuitive interface. Great job.,2
Impressive speed and stability.,2
Excellent job on the latest patch fixes.,2
Thank you for the wonderful user experience.,2
"Top notch quality, definitely no complaints.",2
Aisi app pehle kyun nahi mili! Amazing.,2
"Lajawab experience, gajab hai ye application!",2
Satisfied with the results and the team.,2
"Keep it up, doing great work so far.",2
Outstanding performance on my old phone.,2
Brilliant idea and execution. Love it.,2
So glad I found this tool. Life saver.,2
The new update is incredibly polished.,2
"Smooth as butter, no bugs found yet.",2
Aag laga di bhai! Best update ever.,2
"Ek number kaam hai, keep it up.",2
"Fadu application hai, maza aa gya.",2
"The app is okay, does what it says.",1
"Normal update, nothing special.",1
Using it for basic tasks daily.,1
The ui is simple and functional.,1
Just checking out the new features.,1
Weather is fine today.,1
Waiting for the next update cycle.,1
"Okay experience so far, testing it.",1
Fine for temporary use.,1
"It is average, works sometimes.",1
The car is white in color.,1
I am reading the documentation provided.,1
The meeting starts at 10 AM sharp.,1
Trying to understand the settings menu.,1
Normal day at work in the office.,1
"Sahi hai, theek-thaak hai, bas kaam chal jata hai.",1
"Bas chal raha hai, normal use ke liye theek hai.",1
"Theek hai, kaam chal jayega as of now.",1
"Average app, nothing much to talk about.",1
Informational update received yesterday.,1
I follow the standard opening hours.,1
The package was delivered as expected.,1
Simple application with basic UI.,1
I am analyzing the data now.,1
The document is 5 pages long.,1
"Terrible experience, would not recommend.",0
The app is slow and full of bugs.,0
"Disaster, lost all my settings.",0
Worst customer support ever encountered.,0
"Bakwas app hai, download mat karo.",0
"Paisa barbad, bilkul bekar hai application.",0
Dimag kharab kar diya is update ne.,0
"Kachra software, ghanta kaam nahi karta.",0
"Loot rahe hain log, fraud hai ye.",0
"Bekaar service, 0 level response time.",0
"Useless application, absolute waste of time.",0
Frustrating lag in every single screen.,0
Crashes every single time I open it.,0
"Poor design, very confusing and ugly.",0
"Hate the new update, ruined everything.",0
